store_id,date,weekly_sales,markdown,is_holiday,temperature_f,fuel_price,cpi,unemployment_rate
ST01,2019-01-01,15548.83,0.0,0,51.2,3.38,199.44,9.4
ST01,2019-01-02,14784.89,0.0,0,41.8,3.08,218.98,7.02
ST01,2019-01-03,14812.87,0.0,0,76.4,3.94,193.06,8.8
ST01,2019-01-04,14113.08,1977.29,0,25.1,3.9,204.96,5.52
ST01,2019-01-05,17897.05,0.0,0,24.2,2.61,199.75,5.07
ST01,2019-01-06,22071.54,0.0,0,35.6,3.65,211.84,4.74
ST01,2019-01-07,15181.67,0.0,0,34.3,2.89,193.86,6.2
ST01,2019-01-08,16060.48,0.0,0,25.4,2.95,208.51,7.97
ST01,2019-01-09,20465.02,0.0,0,26.2,3.78,211.13,5.67
ST01,2019-01-10,16934.24,0.0,0,36.7,4.32,227.72,6.93
ST01,2019-01-11,15983.43,0.0,0,39.5,2.54,198.68,8.06
ST01,2019-01-12,19376.41,0.0,0,71.6,2.58,221.99,5.76
ST01,2019-01-13,17578.63,0.0,0,27.5,2.55,203.08,7.96
ST01,2019-01-14,14064.2,2850.09,0,66.7,2.62,202.96,7.89
ST01,2019-01-15,15248.64,0.0,0,93.7,3.91,196.47,7.0
ST01,2019-01-16,13844.49,0.0,0,37.3,4.48,200.32,5.15
ST01,2019-01-17,17118.94,0.0,0,62.7,3.0,193.54,5.76
ST01,2019-01-18,16197.75,0.0,0,56.7,3.46,199.67,9.1
ST01,2019-01-19,17914.7,0.0,0,55.1,3.65,207.15,7.63
ST01,2019-01-20,17056.44,0.0,0,21.6,3.48,192.81,7.73
ST01,2019-01-21,15540.67,0.0,0,39.8,3.64,218.75,5.39
ST01,2019-01-22,12122.62,0.0,0,62.7,4.33,216.35,6.16
ST01,2019-01-23,16555.39,1449.2,0,31.7,4.44,207.46,8.82
ST01,2019-01-24,16074.45,0.0,0,74.6,4.41,225.35,7.16
ST01,2019-01-25,14828.8,0.0,0,91.3,4.05,208.97,4.59
ST01,2019-01-26,17339.34,0.0,0,47.4,3.39,199.23,5.01
ST01,2019-01-27,19323.35,363.38,0,84.6,4.32,213.57,5.27
ST01,2019-01-28,14575.55,779.11,0,65.3,4.07,198.06,8.5
ST01,2019-01-29,13382.1,0.0,0,21.8,4.01,220.74,8.72
ST01,2019-01-30,14355.7,0.0,0,73.2,3.17,229.14,7.2
ST01,2019-01-31,15772.63,0.0,0,22.2,3.31,203.05,5.32
ST01,2019-02-01,14757.68,0.0,0,56.9,3.11,210.72,5.77
ST01,2019-02-02,17699.07,0.0,0,44.3,3.06,228.68,6.02
ST01,2019-02-03,20063.84,0.0,0,75.9,4.14,193.91,4.78
ST01,2019-02-04,18672.22,0.0,0,63.0,2.99,213.85,8.13
ST01,2019-02-05,13594.87,2262.17,0,24.5,4.48,213.79,6.66
ST01,2019-02-06,15172.05,0.0,0,25.9,3.57,200.39,8.88
ST01,2019-02-07,15679.84,1860.49,0,92.6,3.33,219.1,9.39
ST01,2019-02-08,14515.15,0.0,0,33.2,3.85,191.56,8.5
ST01,2019-02-09,17485.74,0.0,0,71.7,4.29,192.0,6.1
ST01,2019-02-10,18337.79,0.0,0,37.6,2.85,208.82,6.39
ST01,2019-02-11,14791.15,0.0,0,61.9,3.69,196.33,7.74
ST01,2019-02-12,15525.47,0.0,0,20.1,3.35,193.18,6.72
ST01,2019-02-13,15093.49,0.0,0,57.9,4.09,198.79,8.73
ST01,2019-02-14,13469.9,0.0,0,88.5,4.06,222.74,7.91
ST01,2019-02-15,14178.0,0.0,0,33.9,3.54,197.46,5.27
ST01,2019-02-16,18547.38,0.0,0,62.8,4.16,223.07,6.7
ST01,2019-02-17,16950.5,0.0,0,28.5,3.43,215.6,9.06
ST01,2019-02-18,15438.99,0.0,0,66.7,3.06,190.66,7.82
ST01,2019-02-19,12910.14,0.0,0,60.9,2.89,215.86,6.95
ST01,2019-02-20,13473.05,0.0,0,62.4,3.15,218.5,6.14
ST01,2019-02-21,13257.73,0.0,0,62.6,4.05,210.0,6.49
ST01,2019-02-22,13670.62,0.0,0,74.2,2.63,197.35,6.79
ST01,2019-02-23,17246.58,0.0,0,71.0,3.15,200.09,8.32
ST01,2019-02-24,16904.78,433.66,0,64.9,4.16,206.24,9.2
ST01,2019-02-25,14623.8,0.0,0,40.9,2.6,199.2,5.5
ST01,2019-02-26,13029.63,1137.14,0,36.2,4.21,206.46,6.82
ST01,2019-02-27,14199.47,0.0,0,32.5,3.45,216.05,7.38
ST01,2019-02-28,13817.3,0.0,0,60.7,4.46,210.13,6.92
ST01,2019-03-01,17476.35,0.0,0,92.5,3.6,219.75,7.85
ST01,2019-03-02,21962.46,0.0,0,83.7,3.65,212.19,7.59
ST01,2019-03-03,26188.63,0.0,0,38.6,3.75,195.3,7.94
ST01,2019-03-04,17659.15,2705.49,0,66.3,2.9,213.17,6.79
ST01,2019-03-05,17466.09,0.0,0,36.9,4.24,195.17,5.45
ST01,2019-03-06,16435.62,0.0,0,31.1,2.61,229.17,6.78
ST01,2019-03-07,16547.77,0.0,0,30.6,4.26,221.43,5.31
ST01,2019-03-08,16974.13,0.0,0,42.7,3.84,223.02,7.45
ST01,2019-03-09,21465.67,0.0,0,59.4,4.48,227.18,9.33
ST01,2019-03-10,23329.54,0.0,0,77.5,3.62,228.74,4.96
ST01,2019-03-11,17229.52,0.0,0,47.2,4.04,219.58,6.88
ST01,2019-03-12,18297.2,0.0,0,91.3,2.8,207.62,4.56
ST01,2019-03-13,18327.54,0.0,0,67.4,3.85,226.55,5.57
ST01,2019-03-14,17252.12,0.0,0,37.8,3.87,217.06,7.62
ST01,2019-03-15,18632.15,0.0,0,32.0,4.11,215.38,8.91
ST01,2019-03-16,20049.9,0.0,0,86.5,3.06,195.29,9.34
ST01,2019-03-17,22970.07,0.0,0,52.8,3.13,223.79,6.86
ST01,2019-03-18,16807.34,0.0,0,49.1,3.56,213.96,5.35
ST01,2019-03-19,16371.77,2140.48,0,82.1,3.16,190.64,5.35
ST01,2019-03-20,17224.7,75.66,0,79.5,4.04,206.8,5.23
ST01,2019-03-21,19165.9,584.05,0,31.6,2.97,190.15,7.97
ST01,2019-03-22,16087.92,1279.05,0,86.8,3.69,190.84,9.0
ST01,2019-03-23,21231.3,2692.68,0,88.3,4.09,197.48,7.07
ST01,2019-03-24,21539.49,44.57,0,41.3,2.95,217.12,4.7
ST01,2019-03-25,18053.45,0.0,0,94.4,3.85,212.75,5.08
ST01,2019-03-26,17817.86,0.0,0,32.2,3.82,224.23,9.26
ST01,2019-03-27,18150.17,1471.18,0,22.5,3.25,225.67,5.76
ST01,2019-03-28,17103.74,1737.71,0,20.2,2.83,207.8,4.72
ST01,2019-03-29,15519.69,0.0,0,36.2,3.93,200.71,4.78
ST01,2019-03-30,21833.45,0.0,0,74.4,2.89,207.47,5.44
ST01,2019-03-31,21404.8,0.0,0,58.6,3.02,211.98,8.6
ST01,2019-04-01,18364.47,2061.35,0,51.5,2.53,224.64,5.03
ST01,2019-04-02,18988.35,0.0,0,53.6,2.89,214.25,7.84
ST01,2019-04-03,17909.56,0.0,0,69.3,2.93,197.11,7.28
ST01,2019-04-04,14797.79,1927.65,0,24.1,4.07,224.12,6.55
ST01,2019-04-05,16861.9,0.0,0,24.1,3.85,201.55,9.32
ST01,2019-04-06,19938.41,0.0,0,73.7,3.04,210.55,5.87
ST01,2019-04-07,18069.09,0.0,0,31.2,2.58,206.36,9.23
ST01,2019-04-08,17266.73,0.0,0,46.3,4.3,214.49,8.28
ST01,2019-04-09,18466.44,0.0,0,69.2,3.56,209.52,5.14
ST01,2019-04-10,17660.87,0.0,0,51.2,2.73,190.69,8.47
ST01,2019-04-11,16938.37,887.03,0,82.0,3.32,201.65,5.82
ST01,2019-04-12,17032.16,0.0,0,66.3,3.39,219.71,5.54
ST01,2019-04-13,22444.86,0.0,0,21.3,3.69,227.66,8.1
ST01,2019-04-14,26271.68,0.0,0,68.6,4.1,223.01,6.74
ST01,2019-04-15,17677.98,0.0,0,52.9,3.56,195.83,5.1
ST01,2019-04-16,19725.16,0.0,0,72.0,2.83,197.11,7.1
ST01,2019-04-17,17016.68,0.0,0,27.4,3.48,221.62,6.44
ST01,2019-04-18,15101.01,0.0,0,42.1,3.37,214.69,8.47
ST01,2019-04-19,20504.7,0.0,0,31.7,2.88,229.44,7.69
ST01,2019-04-20,22578.78,1581.16,0,77.1,4.43,194.32,4.81
ST01,2019-04-21,21625.2,728.95,0,36.3,2.63,213.57,8.34
ST01,2019-04-22,15987.07,0.0,0,75.6,3.31,193.36,7.51
ST01,2019-04-23,17793.08,0.0,0,47.9,2.64,199.86,4.78
ST01,2019-04-24,16869.39,532.28,0,87.1,3.48,207.42,7.56
ST01,2019-04-25,17937.19,0.0,0,23.5,3.78,214.1,7.52
ST01,2019-04-26,20556.19,0.0,0,84.6,3.68,223.1,8.16
ST01,2019-04-27,21723.14,0.0,0,29.9,3.98,194.3,7.72
ST01,2019-04-28,20960.86,2449.8,0,46.9,3.53,200.5,6.03
ST01,2019-04-29,17364.72,0.0,0,26.4,3.73,213.04,6.54
ST01,2019-04-30,15989.7,0.0,0,50.6,4.41,195.79,5.84
ST01,2019-05-01,15782.64,0.0,0,61.9,3.68,190.08,7.28
ST01,2019-05-02,15629.56,0.0,0,35.9,3.74,205.3,5.69
ST01,2019-05-03,15045.5,0.0,0,63.5,3.29,225.51,6.17
ST01,2019-05-04,22748.89,0.0,0,71.5,3.84,209.06,8.24
ST01,2019-05-05,21703.67,0.0,0,78.3,3.64,224.29,8.24
ST01,2019-05-06,17437.32,0.0,0,55.0,4.28,222.21,7.71
ST01,2019-05-07,16115.62,0.0,0,70.4,4.19,208.99,8.68
ST01,2019-05-08,17081.98,0.0,0,59.7,3.75,198.77,8.1
ST01,2019-05-09,19810.23,1271.76,0,62.1,3.58,226.09,8.51
ST01,2019-05-10,19391.67,0.0,0,42.9,4.39,202.44,8.39
ST01,2019-05-11,21501.11,0.0,0,85.5,2.98,226.28,7.61
ST01,2019-05-12,19024.07,0.0,0,32.3,3.49,220.22,9.15
ST01,2019-05-13,16237.01,0.0,0,89.1,4.45,195.48,6.89
ST01,2019-05-14,16860.82,0.0,0,22.2,4.21,212.0,6.13
ST01,2019-05-15,15116.24,0.0,0,46.3,4.03,215.3,5.27
ST01,2019-05-16,15633.52,302.99,0,72.3,4.14,195.58,6.26
ST01,2019-05-17,19127.37,431.97,0,94.1,4.27,213.45,5.64
ST01,2019-05-18,20859.05,0.0,0,67.6,3.68,228.74,5.93
ST01,2019-05-19,21705.22,1911.73,0,88.6,2.89,216.73,7.19
ST01,2019-05-20,18619.57,0.0,0,46.3,3.24,227.29,6.86
ST01,2019-05-21,14637.08,0.0,0,80.6,3.69,192.56,6.45
ST01,2019-05-22,18428.78,0.0,0,43.6,3.55,216.2,5.78
ST01,2019-05-23,18970.13,0.0,0,64.6,3.77,208.42,6.75
ST01,2019-05-24,16483.12,2671.94,0,57.9,4.11,201.23,5.03
ST01,2019-05-25,23126.59,0.0,0,63.7,3.62,215.54,7.98
ST01,2019-05-26,22443.64,0.0,0,87.2,3.71,226.29,9.5
ST01,2019-05-27,17772.18,0.0,0,57.5,2.69,228.02,6.99
ST01,2019-05-28,17433.02,0.0,0,57.5,3.15,215.19,8.01
